phecode,phecode_str
789,Nausea and vomiting
790,Nonspecific findings on examination of blood
790.6,Other abnormal blood chemistry
793,Nonspecific abnormal findings on radiological and other examination of musculoskeletal system
797,Shock
798,Malaise and fatigue
798.1,Chronic fatigue syndrome
851,Complications of transplants and reattached limbs
981,Toxic effect of (non-ethyl) alcohol and petroleum and other solvents
994.1,Systemic inflammatory response syndrome (SIRS)
994.2,Sepsis
994.21,Septic shock
